PAU8,YAL068C
EPT1,YHR123W
NDT80,YHR124W
ANS1,YHR126C
FUR1,YHR128W
ARP1,YHR129C
ECM14,YHR132C
IGO2,YHR132W-A
NSG1,YHR133C
WSS1,YHR134W
YCK1,YHR135C
SPL2,YHR136C
ARO9,YHR137W
SPS100,YHR139C
SNR32,snR32
RPL42B,YHR141C
CHS7,YHR142W
DSE2,YHR143W
RPC10,YHR143W-A
DCD1,YHR144C
SUF8,tP(UGG)H
CRP1,YHR146W
MRPL6,YHR147C
IMP3,YHR148W
SKG6,YHR149C
PEX28,YHR150W
MTC6,YHR151C
SPO12,YHR152W
SPO16,YHR153C
RTT107,YHR154W
LAM1,"YHR155W,YKR001C"
SNR71,snR71
LIN1,YHR156C
REC104,YHR157W
KEL1,YHR158C
TDA11,YHR159W
PEX18,YHR160C
YAP1801,YHR161C
MPC2,YHR162W
SOL3,YHR163W
DNA2,YHR164C
PRP8,YHR165C
CDC23,YHR166C
THP2,YHR167W
MTG2,YHR168W
DBP8,YHR169W
NMD3,YHR170W
ATG7,YHR171W
SPC97,YHR172W
ENO2,YHR174W
CTR2,YHR175W
FMO1,YHR176W
STB5,YHR178W
OYE2,YHR179W
SVP26,YHR181W
GND1,YHR183W
SSP1,YHR184W
PFS1,YHR185C
KOG1,YHR186C
IKI1,YHR187W
GPI16,YHR188C
PTH1,"YHR189W,YOR106W"
ERG9,YHR190W
CTF8,YHR191C
LNP1,YHR192W
EGD2,YHR193C
MDM31,YHR194W
NVJ1,YHR195W
UTP9,YHR196W
RIX1,YHR197W
AIM18,YHR198C
AIM46,YHR199C
NBL1,YHR199C-A
RPN10,YHR200W
PPX1,YHR201C
RPS4B,YHR203C
MNL1,YHR204W
SCH9,YHR205W
SKN7,YHR206W
SET5,YHR207C
BAT1,"YHR208W,YLL048C"
CRG1,YHR209W
FLO5,YHR211W
PHO12,YHR215W
IMD2,YHR216W
PAU14,YIL176C
VTH1,YIL173W
IMA3,YIL172C
HXT12,"YIL170W,YIL171W"
CSS1,YIL169C
NIT1,YIL164C
SUC2,YIL162W
POT1,"YIL160C,YKL198C"
BNR1,YIL159W
AIM20,YIL158W
COA1,YIL157C
UBP7,YIL156W
GUT2,YIL155C
IMP2',YIL154C
RRD1,YIL153W
ESL1,YIL151C
MCM10,YIL150C
MLP2,YIL149C
RPL40A,YIL148W
SLN1,YIL147C
ATG32,YIL146C
PAN6,YIL145C
NDC80,YIL144W
SSL2,YIL143C
CCT2,YIL142W
AXL2,YIL140W
REV7,YIL139C
TPM2,YIL138C
TMA108,YIL137C
OM45,YIL136W
VHS2,YIL135C
SNR68,snR68
FLX1,YIL134W
RPL16A,YIL133C
CSM2,YIL132C
FKH1,YIL131C
ASG1,YIL130W
TAO3,YIL129C
MET18,YIL128W
RRT14,YIL127C
STH1,YIL126W
KGD1,YIL125W
AYR1,YIL124W
SIM1,YIL123W
POG1,YIL122W
QDR2,YIL121W
QDR1,YIL120W
RPI1,YIL119C
RHO3,YIL118W
PRM5,YIL117C
HIS5,YIL116W
NUP159,YIL115C
POR2,YIL114C
SDP1,YIL113W
HOS4,YIL112W
COX5B,YIL111W
HPM1,YIL110W
SEC24,YIL109C
PFK26,YIL107C
MOB1,YIL106W
SLM1,YIL105C
SHQ1,YIL104C
DPH1,YIL103W
XBP1,YIL101C
SGA1,YIL099W
FMC1,YIL098C
FYV10,YIL097W
BMT5,YIL096C
PRK1,YIL095W
LYS12,YIL094C
RSM25,YIL093C
UTP25,YIL091C
ICE2,YIL090W
AVT7,YIL088C
AIM19,YIL087C
KTR7,YIL085C
SDS3,YIL084C
CAB2,YIL083C
AIR1,YIL079C
THS1,YIL078W
SEC28,YIL076W
RPN2,YIL075C
SER33,YIL074C
SPO22,YIL073C
HOP1,YIL072W
PCI8,YIL071C
MAM33,YIL070C
RPS24B,YIL069C
SEC6,YIL068C
RNR3,YIL066C
FIS1,YIL065C
EFM4,YIL064W
YRB2,YIL063C
ARC15,YIL062C
SNP1,YIL061C
RGI2,YIL057C
SUP17,tS(UGA)I
VHR1,YIL056W
GPP1,YIL053W
RPL34B,YIL052C
MMF1,YIL051C
PCL7,YIL050W
DFG10,YIL049W
NEO1,YIL048W
SYG1,YIL047C
MET30,YIL046W
PIG2,YIL045W
AGE2,YIL044C
CBR1,YIL043C
PKP1,YIL042C
GVP36,YIL041W
APQ12,YIL040W
TED1,YIL039W
NOT3,YIL038C
PRM2,YIL037C
CST6,YIL036W
CKA1,YIL035C
CAP2,YIL034C
BCY1,YIL033C
ULP2,YIL031W
SSM4,YIL030C
EMC5,YIL027C
IRR1,YIL026C
YKE4,YIL023C
TIM44,YIL022W
RPB3,YIL021W
HIS6,YIL020C
FAF1,YIL019W
RPL2B,YIL018W
VID28,YIL017C
SNL1,YIL016W
BAR1,YIL015W
MNT3,YIL014W
PDR11,YIL013C
TIR3,YIL011W
DOT5,YIL010W
EST3,YIL009C-A
FAA3,YIL009W
URM1,YIL008W
NAS2,YIL007C
YIA6,YIL006W
EPS1,YIL005W
BET1,YIL004C
CFD1,YIL003W
INP51,YIL002C
SGN1,YIR001C
MPH1,YIR002C
AIM21,YIR003W
DJP1,YIR004W
IST3,YIR005W
PAN1,YIR006C
EGH1,YIR007W
PRI1,YIR008C
MSL1,"YIR009W,YLR382C"
DSN1,YIR010W
STS1,"YIR011C,YOR153W"
SQT1,YIR012W
GAT4,YIR013C
RPR2,YIR015W
MET28,YIR017C
YAP5,YIR018W
FLO11,YIR019C
PWR1,PWR1
ICR1,ICR1
MRS1,YIR021W
SEC11,YIR022W
DAL81,YIR023W
INA22,YIR024C
MND2,YIR025W
YVH1,YIR026C
DAL1,YIR027C
DAL4,YIR028W
DAL2,YIR029W
DCG1,YIR030C
DAL7,YIR031C
DAL3,YIR032C
MGA2,YIR033W
LYS1,YIR034C
IRC24,YIR036C
HYR1,YIR037W
GTT1,YIR038C
YPS6,YIR039C
PAU15,YIR041W
SERIPAUPERIN PAU8,YAL068C
PUTATIVE PERMEASE SEO1,YAL067C
YAL065C-A,YAL064C-A
FLOCCULIN FLO9,YAL063C
GLUTAMATE DEHYDROGENASE (NADP(+)) GDH3,YAL062W
FUN51,YAL062W
PUTATIVE DEHYDROGENASE BDH2,YAL061W
"(R,R)-BUTANEDIOL DEHYDROGENASE",YAL060W
BDH,YAL060W
CALNEXIN,YAL058W
FUN48,YAL058W
YAL058C-A,YAL056C-A
KRH1,YAL056W
UBIQUITIN-PROTEIN TRANSFERASE ACTIVATING PROTEIN PEX22,YAL055W
YAF5,YAL055W
ACETATE--COA LIGASE 1,YAL054C
FUN44,YAL054C
FLAVIN ADENINE DINUCLEOTIDE TRANSPORTER FLC2,YAL053W
HUF2,YAL053W
OLEATE-ACTIVATED TRANSCRIPTION FACTOR OAF1,YAL051W
YAF1,YAL051W
PROTEIN AIM2,YAL049C
ERMES COMPLEX CA(2+)-BINDING REGULATORY GTPASE GEM1,YAL048C
GON1,YAL048C
GAMMA-TUBULIN COMPLEX SUBUNIT SPC72,YAL047C
LDB4,YAL047C
AIM1,YAL046C
GLYCINE DECARBOXYLASE SUBUNIT H,YAL044C
RNA-PROCESSING PROTEIN PTA1,YAL043C
FUN39,YAL043C
FUN9,YAL042W
YAL043C-A,YAL042C-A
RHO FAMILY GUANINE NUCLEOTIDE EXCHANGE FACTOR CDC24,YAL041W
CLS4,YAL041W
CYCLIN CLN3,YAL040C
WHI1,YAL040C
FUN10,YAL040C
DAF1,YAL040C
HOLOCYTOCHROME C SYNTHASE CYC3,YAL039C
CCHL,YAL039C
PYRUVATE KINASE CDC19,YAL038W
PYK1,YAL038W
GTP-BINDING PROTEIN RBG1,YAL036C
FUN11,YAL036C
TRANSLATION INITIATION FACTOR EIF5B,YAL035W
EIF5B,YAL035W
YIF2,YAL035W
MIND COMPLEX SUBUNIT MTW1,YAL034W-A
NSL2,YAL034W-A
DSN3,YAL034W-A
YAL035C-A,YAL034C-B
RNA-BINDING PROTEIN POP5,YAL033W
FUN53,YAL033W
MRNA SPLICING PROTEIN PRP45,YAL032C
FUN20,YAL032C
PROTEIN PHOSPHATASE REGULATOR GIP4,YAL031C
FUN21,YAL031C
SNAP RECEPTOR SNC1,YAL030W
MYOSIN 4,YAL029C
FUN22,YAL029C
HPH2,YAL028W
DNA-BINDING PROTEIN SAW1,YAL027W
AMINOPHOSPHOLIPID-TRANSLOCATING P4-TYPE ATPASE DRS2,YAL026C
SWA3,YAL026C
FUN38,YAL026C
RIBOSOME BIOSYNTHESIS PROTEIN MAK16,YAL025C
MITOTIC REGULATOR LTE1,YAL024C
MSI2,YAL024C
DOLICHYL-PHOSPHATE-MANNOSE-PROTEIN MANNOSYLTRANSFERASE PMT2,YAL023C
FUN25,YAL023C
NUCLEOSIDE TRANSMEMBRANE TRANSPORTER FUN26,YAL022C
CCR4-NOT CORE EXORIBONUCLEASE SUBUNIT CCR4,YAL021C
NUT21,YAL021C
FUN27,YAL021C
KTI13,YAL020C
FUN28,YAL020C
DNA-DEPENDENT ATPASE FUN30,YAL019W
SERINE/THREONINE PROTEIN KINASE PSK1,YAL017W
FUN31,YAL017W
PROTEIN PHOSPHATASE 2A STRUCTURAL SUBUNIT TPD3,YAL016W
FUN32,YAL016W
BIFUNCTIONAL N-GLYCOSYLASE/AP LYASE NTG1,YAL015C
OGG2,YAL015C
FUN33,YAL015C
SYNTAXIN,"YAL014C,YMR183C,YPL232W"
UIP2,YAL014C
RPD3L HISTONE DEACETYLASE COMPLEX SUBUNIT DEP1,YAL013W
FUN54,YAL013W
CYSTATHIONINE GAMMA-LYASE CYS3,YAL012W
STR1,YAL012W
FUN35,YAL012W
CYI1,YAL012W
SWC1,YAL011W
FUN37,YAL010C
NEM1-SPO7 PHOSPHATASE REGULATORY SUBUNIT SPO7,YAL009W
MCP3,YAL008W
HSP70 FAMILY ATPASE SSA1,YAL005C
YG100,YAL005C
TRANSLATION ELONGATION FACTOR 1 SUBUNIT BETA,YAL003W
EF-1BETA,YAL003W
EEF1BALPHA,YAL003W
TEF5,YAL003W
CORVET COMPLEX MEMBRANE-BINDING SUBUNIT VPS8,YAL002W
VPL8,YAL002W
VPT8,YAL002W
FUN15,YAL002W
TRANSCRIPTION FACTOR TFIIIC SUBUNIT TFC3,YAL001C
TAU 138,YAL001C
TSV115,YAL001C
FUN24,YAL001C
FG-NUCLEOPORIN NUP60,YAR002W
COMPASS SUBUNIT PROTEIN SWD1,YAR003W
SAF49,YAR003W
CPS50,YAR003W
FUN16,YAR003W
REPLICATION FACTOR A SUBUNIT PROTEIN RFA1,YAR007C
RPA70,YAR007C
RPA1,YAR007C
FUN3,YAR007C
BUF2,YAR007C
TRNA SPLICING ENDONUCLEASE SUBUNIT SEN34,YAR008W
FUN4,YAR008W
TRUNCATED GAG-POL FUSION PROTEIN,YAR009C
YARCTYB1-1,YAR009C
GAG PROTEIN,"YAR010C,YBL005W-A,YBL100W-A,YBR012W-A,YCL020W,YDR034C-C,YDR098C-A,YDR170W-A,YDR210C-C,YDR210W-A,YDR261C-C,YDR261W-A,YDR316W-A,YDR365W-A,YER137C-A,YER159C-A,YFL002W-B,YGR027W-A,YGR038C-A,YGR109W-A,YGR161C-C,YGR161W-A,YHL009W-A,YHR214C-C,YJL114W,YJR026W,YJR028W,YLR157C-A,YLR227W-A,YLR256W-A,YLR410W-A,YML040W,YML045W-A,YMR046C,YMR051C,YNL054W-A,YNL284C-A,YOL103W-A,YOR142W-A,YOR192C-A,YOR343W-A,YPL257W-A,YPR137C-A,YPR158C-C,YPR158W-A"
YARCTYA1-1,YAR010C
TY1,"YARCTy1-1,YBLWTy1-1,YBRWTy1-2,YDRCTy1-1,YDRCTy1-2,YDRCTy1-3,YDRWTy1-4,YDRWTy1-5,YERCTy1-1,YERCTy1-2,YGRCTy1-2,YGRCTy1-3,YGRWTy1-1,YHRCTy1-1,YJRWTy1-1,YJRWTy1-2,YLRCTy1-1,YLRWTy1-2,YLRWTy1-3,YMLWTy1-1,YMLWTy1-2,YMRCTy1-3,YMRCTy1-4,YNLCTy1-1,YNLWTy1-2,YOLWTy1-1,YORWTy1-2,YPLWTy1-1,YPRCTy1-2,YPRCTy1-4,YPRWTy1-3"
PROTEIN PHOSPHATASE REGULATOR BUD14,YAR014C
PHOSPHORIBOSYLAMINOIMIDAZOLESUCCINOCARBOXAMIDE SYNTHASE,YAR015W
SERINE/THREONINE PROTEIN KINASE KIN3,YAR018C
NPK1,YAR018C
FUN52,YAR018C
SERINE/THREONINE PROTEIN KINASE CDC15,YAR019C
LYT1,YAR019C
SERIPAUPERIN PAU7,YAR020C
DUP240 FAMILY PROTEIN,"YAR023C,YAR028W,YAR029W,YCR007C,YHL044W"
DUP240 FAMILY PROTEIN UIP3,YAR027W
PHEROMONE-REGULATED DUP240 FAMILY PROTEIN PRM9,YAR031W
DUP240 FAMILY PROTEIN MST28,YAR033W
CARNITINE O-ACETYLTRANSFERASE YAT1,YAR035W
OXYSTEROL-BINDING PROTEIN RELATED PROTEIN SWH1,YAR042W
OSH1,YAR042W
YAR044W,YAR042W
FLOCCULIN FLO1,YAR050W
FLO4,YAR050W
FLO2,YAR050W
YAR062W,YAR061W
ACID PHOSPHATASE PHO11,YAR071W
Y' ELEMENT ATP-DEPENDENT HELICASE,"YEL077C,YFL066C,YIL177C,YJL225C,YLL066C,YLL067C,YML133C,YPR204W"
SERIPAUPERIN PAU1,YJL223C
SIGNAL SEQUENCE-BINDING PROTEIN,"YIL173W,YJL222W"
"OLIGO-1,6-GLUCOSIDASE IMA4",YJL221C
FSP2,YJL221C
HEXOSE TRANSPORTER HXT9,YJL219W
ACETYLTRANSFERASE,"YJL218W,YLL063C"
"OLIGO-1,6-GLUCOSIDASE IMA5",YJL216C
HEXOSE TRANSPORTER HXT8,YJL214W
OLIGOPEPTIDE TRANSPORTER OPT1,YJL212C
GSH11,YJL212C
HGT1,YJL212C
UBIQUITIN-PROTEIN LIGASE PEROXIN 2,YJL210W
PAS5,YJL210W
CRT1,"YJL210W,YLR176C"
RIBONUCLEASE,YJL208C
YJL205C-A,YJL205C
YJL206C-A,YJL205C
NCE1,YJL205C
SPP91,YJL203W
ACONITATE HYDRATASE ACO2,YJL200C
SPX DOMAIN-CONTAINING INORGANIC PHOSPHATE TRANSPORTER,"YCR037C,YJL198W"
PUTATIVE UBIQUITIN-SPECIFIC PROTEASE UBP12,YJL197W
FATTY ACID ELONGASE ELO1,YJL196C
AAA FAMILY ATPASE CDC6,YJL194W
EMC7,YJL192C
US11,"YCR031C,YJL191W"
RIBOSOMAL 40S SUBUNIT PROTEIN S14B,YJL191W
S11,"YCR031C,YJL191W"
RP59B,YJL191W
S14B,"YER102W,YJL191W"
CRY2,YJL191W
US8,"YJL190C,YLR367W"
RIBOSOMAL 40S SUBUNIT PROTEIN S22A,YJL190C
S8,"YJL190C,YLR367W"
RP50,"YJL190C,YLR367W"
YS22,"YJL190C,YLR367W"
S24A,"YER074W,YJL190C"
S22A,YJL190C
RPS24,YJL190C
EL39,YJL189W
RIBOSOMAL 60S SUBUNIT PROTEIN L39,YJL189W
L39E,YJL189W
YL40,YJL189W
L46,YJL189W
L39,"YJL189W,YMR194W,YPL249C-A"
SPB2,YJL189W
RPL46,YJL189W
TYROSINE PROTEIN KINASE SWE1,YJL187C
WEE1,YJL187C
"ALPHA-1,2-MANNOSYLTRANSFERASE MNN5",YJL186W
CHROMATIN DNA-BINDING EKC/KEOPS COMPLEX SUBUNIT GON7,YJL184W
PCC2,YJL184W
LDB6,YJL184W
"ALPHA-1,6-MANNOSYLTRANSFERASE","YDR245W,YJL183W,YJR075W"
ATP SYNTHASE COMPLEX ASSEMBLY PROTEIN ATP12,YJL180C
PREFOLDING COMPLEX CHAPERONE SUBUNIT,YJL179W
GIM6,YJL179W
ETF1,YJL178C
UL22,"YJL177W,YKL180W"
RIBOSOMAL 60S SUBUNIT PROTEIN L17B,YJL177W
L22,"YJL177W,YKL180W"
YL17,"YJL177W,YKL180W"
L20B,"YJL177W,YOR312C"
L17B,"YJL177W,YLR448W"
HAF2,YJL176C
TYE2,YJL176C
RPA3,YJL173C
GLY-XAA CARBOXYPEPTIDASE,YJL172W
HISTONE METHYLTRANSFERASE SET2,YJL168C
KMT3,YJL168C
EZL1,YJL168C
"BIFUNCTIONAL (2E,6E)-FARNESYL DIPHOSPHATE SYNTHASE/DIMETHYLALLYLTRANSTRANSFERASE",YJL167W
FPP1,YJL167W
FDS1,YJL167W
BOT3,YJL167W
UBIQUINOL--CYTOCHROME-C REDUCTASE SUBUNIT 8,YJL166W
COR5,YJL166W
PROTEIN KINASE HAL5,YJL165C
CAMP-DEPENDENT PROTEIN KINASE CATALYTIC SUBUNIT TPK1,YJL164C
SRA3,YJL164C
PKA1,YJL164C
"BETA-1,3-GLUCAN LINKED PROTEIN","YJL160C,YKL163W,YKL164C"
HEAT SHOCK PROTEIN HSP150,YJL159W
PIR2,YJL159W
ORE1,YJL159W
CCW7,YJL159W
SCW8,YJL158C
CCW5,YJL158C
PIR4,YJL158C
CCW11,YJL158C
CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE INHIBITING PROTEIN FAR1,YJL157C
RAA3,YJL156C
"FRUCTOSE-2,6-BISPHOSPHATASE",YJL155C
RETROMER SUBUNIT VPS35,YJL154C
VPT7,YJL154C
GRD9,YJL154C
INOSITOL-3-PHOSPHATE SYNTHASE INO1,YJL153C
APR1,YJL153C
DUH1,YJL149W
SCF UBIQUITIN LIGASE COMPLEX SUBUNIT DAS1,YJL149W
U14,snR128
DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA34,YJL148W
CST21,YJL148W
A34.5,YJL148W
PROTEIN TRANSPORTER TIM17,YJL143W
SMS1,YJL143W
MPI2,YJL143W
MIM17,YJL143W
SERINE/THREONINE PROTEIN KINASE YAK1,YJL141C
DNA-DIRECTED RNA POLYMERASE II SUBUNIT RPB4,YJL140W
B32,YJL140W
CTF15,YJL140W
MANNOSYLTRANSFERASE YUR1,YJL139C
TRANSLATION INITIATION FACTOR EIF4A,"YJL138C,YKR059W"
EIF4A,"YJL138C,YKR059W"
GLYCOGENIN GLUCOSYLTRANSFERASE GLG2,YJL137C
ES21,"YJL136C,YKR057W"
RIBOSOMAL 40S SUBUNIT PROTEIN S21B,YJL136C
S21E,"YJL136C,YKR057W"
YS25,"YJL136C,YKR057W"
S26B,"YER131W,YJL136C"
S21B,YJL136C
SPHINGANINE KINASE LCB3,YJL134W
YSR2,YJL134W
LBP1,YJL134W
FE(2+) TRANSPORTER,"YJL133W,YKR052C"
BIFUNCTIONAL CARBAMOYLPHOSPHATE SYNTHETASE/ASPARTATE TRANSCARBAMYLASE,YJL130C
MITOGEN-ACTIVATED PROTEIN KINASE KINASE PBS2,YJL128C
SSK4,YJL128C
SFS4,YJL128C
HOG4,YJL128C
YJL127W-B,YJL127W-A
YJL127C-A,YJL127C-B
SUD1,YJL127C
CRE1,YJL127C
PUTATIVE HYDROLASE,"YDR101C,YDR444W,YGR015C,YJL126W,YKL033W-A,YLR351C,YOR059C"
TRNA 1-METHYLADENOSINE METHYLTRANSFERASE SUBUNIT GCD14,YJL125C
TRM61,YJL125C
SPB8,YJL124C
RIBULOSE-PHOSPHATE 3-EPIMERASE RPE1,YJL121C
POS18,YJL121C
EPI1,YJL121C
SUN FAMILY PROTEIN NCA3,YJL116C
NUCLEOSOME ASSEMBLY FACTOR ASF1,YJL115W
TY4,"YHLWTy4-1,YJLWTy4-1,YPLCTy4-1"
GAG-POL FUSION PROTEIN,"YBL005W-B,YBL100W-B,YBR012W-B,YCL019W,YDR034C-D,YDR098C-B,YDR210C-D,YDR210W-B,YDR261C-D,YDR261W-B,YDR316W-B,YDR365W-B,YER138C,YER160C,YFL002W-A,YGR027W-B,YGR038C-B,YGR109W-B,YGR161C-D,YGR161W-B,YHL009W-B,YHR214C-B,YIL082W-A,YJL113W,YJR027W,YJR029W,YLR035C-A,YLR157C-B,YLR227W-B,YLR410W-B,YML039W,YML045W,YMR045C,YMR050C,YNL054W-B,YNL284C-B,YOL103W-B,YOR142W-B,YOR192C-B,YOR343W-B,YPL257W-B,YPR137C-B,YPR158C-D,YPR158W-B"
NET2,YJL112W
GAG3,YJL112W
FIS2,YJL112W
CHAPERONIN-CONTAINING T-COMPLEX SUBUNIT CCT7,YJL111W
TCP7,YJL111W
NIL2,YJL110C
DEH1,YJL110C
SNORNA-BINDING RRNA-PROCESSING PROTEIN UTP10,YJL109C
PHEROMONE-REGULATED PROTEIN PRM10,YJL108C
PROTEIN KINASE IME2,YJL106W
IMPORT MOTOR COMPLEX SUBUNIT PAM16,YJL104W
TIM16,YJL104W
MIA1,YJL104W
GLUTAMATE--CYSTEINE LIGASE,YJL101C
1-PHOSPHATIDYLINOSITOL 4-KINASE LSB6,YJL100W
CSD3,YJL099W
ENOYL-COA HYDRATASE PHS1,YJL097W
MITOCHONDRIAL 54S RIBOSOMAL PROTEIN YML49,YJL096W
YML49,YJL096W
MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE BCK1,YJL095W
SSP31,YJL095W
SLK1,YJL095W
SAP3,YJL095W
LAS3,YJL095W
YORK,YJL093C
YKC1,YJL093C
DUK1,YJL093C
DNA HELICASE SRS2,YJL092W
HPR5,YJL092W
RADH1,YJL092W
RADH,YJL092W
GLUCOSAMINYL-PHOSPHOTIDYLINOSITOL O-ACYLTRANSFERASE,YJL091C
PROTEIN KINASE ACTIVATING PROTEIN DPB11,YJL090C
ORNITHINE CARBAMOYLTRANSFERASE,YJL088W
ARGF,YJL088W
TRNA LIGASE,YJL087C
RLG1,YJL087C
LIG1,YJL087C
GTP-RHO BINDING EXOCYST SUBUNIT EXO70,YJL085W
ART3,YJL084C
ACT3,YJL081C
STEROL-BINDING PROTEIN,"YJL079C,YKR013W"
SRM8,YJL076W
CFI1,YJL076W
ESC5,YJL076W
COHESIN SUBUNIT SMC3,YJL074C
KAR8,YJL073W
DNA REPLICATION PROTEIN PSF2,YJL072C
CDC102,YJL072C
ACETYL-COA:L-GLUTAMATE N-ACETYLTRANSFERASE,YJL071W
HRB574,YJL071W
METALLO-DEPENDENT HYDROLASE SUPERFAMILY PROTEIN,"YBR284W,YJL070C"
S-FORMYLGLUTATHIONE HYDROLASE,YJL068C
SFGH,YJL068C
MITOCHONDRIAL 54S RIBOSOMAL PROTEIN YML8,YJL063C
YML8,YJL063C
HRD238,YJL063C
COX25,YJL062W-A
RRG10,YJL062W-A
MANNOSE-ETHANOLAMINE PHOSPHOTRANSFERASE LAS21,YJL062W
GPI7,YJL062W
LINKER NUCLEOPORIN NUP82,YJL061W
HRB187,YJL061W
KYNURENINE--OXOGLUTARATE TRANSAMINASE,YJL060W
AMINO ACID TRANSPORTER YHC3,YJL059W
BTN1,YJL059W
PROTEIN KINASE IKS1,YJL057C
ZRG10,YJL056C
RETROMER SUBUNIT PEP8,YJL053W
VPT4,YJL053W
VPS26,YJL053W
GRD6,YJL053W
GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE (PHOSPHORYLATING) TDH1,YJL052W
GAPDH,"YGR192C,YJL052W,YJR009C"
GLD3,YJL052W
ATP-DEPENDENT RNA HELICASE MTR4,YJL050W
DOB1,YJL050W
CUI2,YJL048C
CULLIN RTT101,YJL047C
CULC,YJL047C
CUL8,YJL047C
PUTATIVE LIPOATE--PROTEIN LIGASE,YJL046W
RRG3,YJL046W
LIP3,YJL046W
SUCCINATE DEHYDROGENASE SDH1B,YJL045W
SDH1B,YJL045W
FG-NUCLEOPORIN NSP1,YJL041W
OSW4,YJL038C
OSW6,YJL037W
ATG24,YJL036W
CVT13,YJL036W
TRNA(ADENINE34) DEAMINASE,YJL035C
HSP70 FAMILY ATPASE KAR2,YJL034W
BIP,YJL034W
GRP78,YJL034W
RNA-DEPENDENT ATPASE HCA4,YJL033W
ECM24,YJL033W
DBP4,YJL033W
RAB GERANYLGERANYLTRANSFERASE BET4,YJL031C
SPINDLE CHECKPOINT PROTEIN MAD2,YJL030W
RIBONUCLEOTIDE-DIPHOSPHATE REDUCTASE SUBUNIT RNR2,YJL026W
CRT6,YJL026W
YKS7,YJL024C
YJL021C,YJL020C
MTI1,YJL020C
YJL018W,YJL019W
NEP98,YJL019W
YJL017W,YJL016W
CHAPERONIN-CONTAINING T-COMPLEX SUBUNIT CCT3,YJL014W
TCP3,YJL014W
BIN2,YJL014W
YJL012C-A,YJL012C
PHM3,YJL012C
DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC17,YJL011C
C17,YJL011C
RNA-BINDING RNA PROCESSING PROTEIN NOP9,YJL010C
CHAPERONIN-CONTAINING T-COMPLEX SUBUNIT CCT8,YJL008C
SUP52,tL(UAA)J
ADENYLATE CYCLASE,YJL005W
FIL1,"YHR038W,YJL005W"
TSM0185,YJL005W
SRA4,YJL005W
HSR1,YJL005W
CDC35,YJL005W
DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOTRANSFERASE SUBUNIT OST1,YJL002C
NLT1,YJL002C
PROTEASOME CORE PARTICLE SUBUNIT BETA 1,YJL001W
CRL21,YJL001W
RRNA-PROCESSING PROTEIN MPP10,YJR002W
AG(ALPHA)1,YJR004C
YAP80,YJR005W
DNA-DIRECTED DNA POLYMERASE DELTA SUBUNIT POL31,YJR006W
HYS2,YJR006W
SDP5,YJR006W
HUS2,YJR006W
TRANSLATION INITIATION FACTOR EIF2 SUBUNIT ALPHA,YJR007W
GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE (PHOSPHORYLATING) TDH2,YJR009C
GLD2,YJR009C
SULFATE ADENYLYLTRANSFERASE,YJR010W
SIGNAL PEPTIDASE COMPLEX SUBUNIT SPC1,YJR010C-A
"GLYCOSYLPHOSPHATIDYLINOSITOL-ALPHA 1,4 MANNOSYLTRANSFERASE I",YJR013W
PMH1,YJR013W
RBF22,YJR014W
DIHYDROXY-ACID DEHYDRATASE ILV3,YJR016C
PEPTIDYLPROLYL ISOMERASE ESS1,YJR017C
PIN1,YJR017C
PTF1,YJR017C
PTE1,YJR019C
MER2,YJR021C
U4/U6-U5 SNRNP COMPLEX SUBUNIT LSM8,YJR022W
METHYLTHIORIBULOSE 1-PHOSPHATE DEHYDRATASE MDE1,YJR024C
"3-HYDROXYANTHRANILATE 3,4-DIOXYGENASE",YJR025C
HAD1,YJR025C
ARF FAMILY GUANINE NUCLEOTIDE EXCHANGE FACTOR GEA1,YJR031C
PEPTIDYLPROLYL ISOMERASE CPR7,YJR032W
SOI3,YJR033C
DNA-DEPENDENT ATPASE RAD26,YJR035W
PUTATIVE E3 UBIQUITIN-PROTEIN LIGASE HUL4,YJR036C
CLC,YJR040W
NPA2,YJR041C
RAT9,YJR042W
DNA POLYMERASE DELTA SUBUNIT POL32,YJR043C
REV5,YJR043C
HSP70 FAMILY ATPASE SSC1,YJR045C
MTHSP70,YJR045C
ENS1,YJR045C
CDT1,YJR046W
SID2,YJR046W
TRANSLATION ELONGATION FACTOR EIF-5A,"YEL034W,YJR047C"
EIF-5A,"YEL034W,YJR047C"
EIF5A,"YEL034W,YJR047C"
TIF51B,YJR047C
HYP1,YJR047C
CYTOCHROME C ISOFORM 1,YJR048W
NADH/NAD(+) KINASE,"YEL041W,YJR049C"
NTC30,YJR050W
UTR3,YJR050W
FUMARATE REDUCTASE,"YEL047C,YJR051W"
FRDS2,YJR051W
UV-DAMAGED DNA-BINDING PROTEIN RAD7,YJR052W
IBD1,YJR053W
ERM6,YJR054W
BIFUNCTIONAL THYMIDYLATE/URIDYLATE KINASE,YJR057W
YAP17,YJR058C
PROTEIN KINASE PTK2,YJR059W
STK2,YJR059W
GFII,YJR060W
CP1,YJR060W
CPF1,YJR060W
